Model,Test Accuracy,Test Loss,AUC
Custom_CNN,0.7804487347602844,0.4997953176498413,0.9149463072539996
DenseNet121_Base,0.8301281929016113,0.38276711106300354,0.9235152312075389
DenseNet121_FineTuned,0.7948718070983887,0.614574134349823,0.9305391190006573
