,precision,recall,f1-score,support
NORMAL,0.9292035398230089,0.44871794871794873,0.6051873198847262,234.0
PNEUMONIA,0.7475538160469667,0.9794871794871794,0.8479467258601554,390.0
accuracy,0.780448717948718,0.780448717948718,0.780448717948718,0.780448717948718
macro avg,0.8383786779349878,0.7141025641025641,0.7265670228724408,624.0
weighted avg,0.8156724624629825,0.780448717948718,0.7569119486193695,624.0
