,precision,recall,f1-score,support
NORMAL,0.8764705882352941,0.6367521367521367,0.7376237623762376,234.0
PNEUMONIA,0.8127753303964758,0.9461538461538461,0.8744075829383886,390.0
accuracy,0.8301282051282052,0.8301282051282052,0.8301282051282052,0.8301282051282052
macro avg,0.8446229593158849,0.7914529914529914,0.8060156726573131,624.0
weighted avg,0.8366610520860326,0.8301282051282052,0.823113650227582,624.0
