,precision,recall,f1-score,support
NORMAL,0.9649122807017544,0.4700854700854701,0.632183908045977,234.0
PNEUMONIA,0.7568627450980392,0.9897435897435898,0.8577777777777778,390.0
accuracy,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948
macro avg,0.8608875128998967,0.72991452991453,0.7449808429118774,624.0
weighted avg,0.8348813209494323,0.7948717948717948,0.7731800766283524,624.0
