,precision,recall,f1-score,support
NORMAL,1.0,0.39316239316239315,0.5644171779141104,234.0
PNEUMONIA,0.7330827067669173,1.0,0.8459869848156182,390.0
accuracy,0.7724358974358975,0.7724358974358975,0.7724358974358975,0.7724358974358975
macro avg,0.8665413533834587,0.6965811965811965,0.7052020813648643,624.0
weighted avg,0.8331766917293234,0.7724358974358975,0.7403983072275528,624.0
